REF_AREA_NAME;INDICATOR_NAME;UNIT_MEASURE_NAME;TIME_PERIOD;OBS_VALUE
Afghanistan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Albania;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;11.0
Algeria;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Andorra;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;1.5
Angola;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Antigua and Barbuda;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Argentina;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.0
Armenia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;13.0
Aruba;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.728
Australia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.21
Austria;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.398
Azerbaijan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.521
Bahamas, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.79
Bahrain;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Bangladesh;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Barbados;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.228
Belarus;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.044
Belgium;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.514
Belize;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.4
Benin;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Bhutan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Bolivia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.0
Bosnia and Herzegovina;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;13.3
Botswana;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Brazil;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.032
Brunei Darussalam;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.9
Bulgaria;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.3
Burkina Faso;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Burundi;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Cabo Verde;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.5
Cambodia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Cameroon;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Canada;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.323
Central African Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Chad;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Chile;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.713
China;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.1
Colombia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;9.872
Comoros;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Congo, Dem. Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Congo, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Costa Rica;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.289
Cote d'Ivoire;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Croatia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.77
Cyprus;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.856
Czechia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.56
Denmark;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.892
Djibouti;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Dominica;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Dominican Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.0
Ecuador;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.2
Egypt, Arab Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;7.074
El Salvador;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.5
Equatorial Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Eritrea;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Estonia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.058
Eswatini;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Ethiopia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Fiji;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.0
Finland;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;7.599
France;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;7.357
Gabon;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Gambia, The;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Georgia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;15.7
Germany;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.288
Ghana;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Greece;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;9.357
Grenada;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Guatemala;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Guinea;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Guinea-Bissau;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Guyana;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Haiti;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Honduras;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.005
Hong Kong SAR, China;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.813
Hungary;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.4
Iceland;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.838
India;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Indonesia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;5.2
Iran, Islamic Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;8.9
Iraq;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Ireland;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.385
Israel;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.7
Italy;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;7.828
Jamaica;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Japan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;2.5
Jordan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Kazakhstan;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;4.775
Kenya;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Kiribati;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Korea, Rep.;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;3.0
Kosovo;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Kuwait;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Kyrgyz Republic;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;9.014
Lao PDR;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Latvia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.452
Lebanon;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Lesotho;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Liberia;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Libya;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;
Lithuania;Unemployment rate, Percent of total labor force;Percentage of labor force;2024;6.3
